Country/Region,pib_en_salud,Rank,GDP(US$million),edad_media,giniIndex,pop2020,taza(muerte/1000)
Mauritania,4.0,147,"5,651",21.0,37.0,4649658.0,7.5
Rwanda,7.0,139,"10,209",19.7,50.4,12952218.0,6.1
Saint Lucia,5.0,166,"1,992",36.9,,,8.1
Saint Vincent and the Grenadines,4.0,177,856,35.3,,,7.6
Suriname,6.0,155,"3,774",31.0,,,6.2
Kosovo,,—,"7,996",30.5,,,7.0
Central African Republic,6.0,163,"2,321",20.0,43.6,4829767.0,12.3
Congo (Brazzaville),3.0,137,"11,576",19.5,,,8.7
Equatorial Guinea,3.0,135,"12,142",20.3,,,7.3
Uzbekistan,6.0,78,"60,490",30.1,36.8,33469203.0,5.4
Guam,,,,29.4,,,6.0
Puerto Rico,,—,"99,913",43.6,,,9.5
Benin,4.0,124,"14,374",17.0,36.5,12123200.0,8.4
Greenland,,,,34.3,33.9,56770.0,9.0
Liberia,8.0,158,"3,221",18.0,32.0,5057681.0,7.0
Mayotte,,,,,,,
Somalia,,151,"4,958",18.5,,,12.4
Tanzania,4.0,74,"62,224",18.2,37.6,59734218.0,7.1
Bahamas,6.0,131,"12,664",32.8,,,7.4
Barbados,7.0,150,"5,189",39.5,,,8.8
Montenegro,,148,"5,424",39.6,31.9,628066.0,10.4
Gambia,3.0,167,"1,773",21.8,,,6.7
Kyrgyzstan,6.0,142,"8,261",27.3,33.4,6524195.0,6.3
Mauritius,6.0,123,"14,391",36.3,35.9,1271768.0,7.3
Zambia,4.0,106,"23,946",16.9,57.5,18383955.0,11.6
Djibouti,3.0,159,"3,166",24.9,40.9,988000.0,7.3
Chad,4.0,138,"11,026",16.1,43.3,16425864.0,10.0
El Salvador,7.0,102,"26,871",27.7,36.0,6486205.0,5.9
Fiji,4.0,149,"5,708",29.9,,,6.3
Nicaragua,9.0,133,"12,528",27.3,47.1,6624554.0,5.2
Madagascar,6.0,132,"12,550",20.3,41.0,27691018.0,6.2
Haiti,8.0,141,"8,819",24.1,60.8,11402528.0,7.4
Angola,3.0,62,"91,527",15.9,42.7,32866272.0,8.5
Cabo Verde,5.0,,,26.8,,,5.9
Niger,8.0,140,"9,443",14.8,34.0,24206644.0,10.2
Papua New Guinea,2.0,109,"23,587",24.0,50.9,8947024.0,6.7
Zimbabwe,7.0,129,"12,818",20.5,43.2,14862924.0,9.3
East Timor,,,,,,,
Eritrea,3.0,164,"2,110",20.3,,,6.9
Uganda,6.0,99,"30,666",15.7,39.5,45741007.0,5.3
Dominica,6.0,178,593,34.9,,,8.0
Grenada,5.0,172,"1,238",33.3,,,8.3
Mozambique,5.0,120,"15,093",17.0,45.6,31255435.0,11.0
Syria,,79,"60,043/Na",23.5,,,4.5
Timor-Leste,4.0,160,"2,938",19.6,,,5.7
Belize,6.0,165,"2,001",23.9,,,4.1
Laos,3.0,112,"19,127",24.0,36.7,7275560.0,7.2
Libya,,96,"33,018",25.8,,,3.5
Diamond Princess,,,,,,,
Guinea-Bissau,7.0,,,18.0,,,7.9
Mali,4.0,115,"17,647",16.0,40.1,20250833.0,9.0
Saint Kitts and Nevis,5.0,174,"1,032",36.5,,,7.3
Burma,,,,29.2,,,7.2
MS Zaandam,,,,,,,
Botswana,6.0,114,"18,690",25.7,60.5,2351627.0,9.2
Burundi,8.0,157,"3,573",17.7,42.4,11890784.0,6.2
Sierra Leone,13.0,153,"4,229",19.1,34.0,7976983.0,9.8
Malawi,10.0,144,"7,522",16.8,46.1,19129952.0,7.2
